YYYY,MM,DD,HH,WSPD,BAR,ATMP,WTMP,Timestamp (Days),Timestamp (Hours)
2005,1,1,0,7.2,1025.2,19.5,20.3,0,0
2005,1,1,1,7.4,1025.5,19.8,20.3,0.04166666667,1
2005,1,1,2,8.1,1025.8,20,20.3,0.08333333333,2
2005,1,1,3,7.1,1026.6,19.6,20.3,0.125,3
2005,1,1,4,8.3,1025.9,19.6,20.3,0.1666666667,4
2005,1,1,5,8.7,1025.7,19.5,20.3,0.2083333333,5
2005,1,1,6,7.2,1025.6,19.5,20.3,0.25,6
2005,1,1,7,8.8,1025.2,19.9,20.3,0.2916666667,7
2005,1,1,8,6.9,1025.2,19.9,20.3,0.3333333333,8
2005,1,1,9,5.9,1025.2,19.8,20.3,0.375,9
2005,1,1,10,6.4,1025.2,19.6,20.3,0.4166666667,10
2005,1,1,11,6.3,1025.7,18.9,19.9,0.4583333333,11
2005,1,1,12,7.9,1025.8,18.8,19.9,0.5,12
2005,1,1,13,7.1,1026.7,18.6,19.9,0.5416666667,13
2005,1,1,14,7.5,1027.3,18.4,19.9,0.5833333333,14
2005,1,1,15,6.9,1028,18.8,19.9,0.625,15
2005,1,1,16,7.7,1028.2,18.9,19.9,0.6666666667,16
2005,1,1,17,7.1,1027.5,19.1,19.9,0.7083333333,17
2005,1,1,18,7,1026.9,19.1,19.9,0.75,18
2005,1,1,19,6.3,1026,19.2,19.9,0.7916666667,19
2005,1,1,20,6.5,1026,19.1,19.9,0.8333333333,20
2005,1,1,21,6.3,1025.9,19.3,19.9,0.875,21
2005,1,1,22,6.5,1025.9,19.5,19.9,0.9166666667,22
2005,1,1,23,6.5,1025.9,19.6,19.9,0.9583333333,23
2005,1,2,0,5.9,1026.2,19.6,19.8,1,24
2005,1,2,1,6.3,1026.6,19.8,19.9,1.041666667,25
2005,1,2,2,4.6,1026.8,19.7,19.9,1.083333333,26
2005,1,2,3,4.6,1027.3,19.8,19.9,1.125,27
2005,1,2,4,6.1,1026.8,19.9,19.9,1.166666667,28
2005,1,2,5,7,1026.8,19.8,19.9,1.208333333,29
2005,1,2,6,6.3,1026.7,19.6,19.9,1.25,30
2005,1,2,7,6.3,1026.1,19.5,19.9,1.291666667,31
2005,1,2,8,7.6,1025.8,19.1,19.8,1.333333333,32
2005,1,2,9,7.7,1025.8,18.9,19.8,1.375,33
2005,1,2,10,6.6,1026.6,18.8,19.8,1.416666667,34
2005,1,2,11,6.6,1026.8,18.8,19.8,1.458333333,35
2005,1,2,12,6.5,1027.3,18.9,19.8,1.5,36
2005,1,2,13,7,1027.5,18.9,19.8,1.541666667,37
2005,1,2,14,7.1,1028.2,19.1,19.8,1.583333333,38
2005,1,2,15,6.7,1028.8,19.1,19.9,1.625,39
2005,1,2,16,6.4,1029,19.2,19.9,1.666666667,40
2005,1,2,17,6.5,1028.8,19.1,19.9,1.708333333,41
2005,1,2,18,5.8,1028.3,19.2,19.9,1.75,42
2005,1,2,19,5.2,1027.3,19.1,19.9,1.791666667,43
2005,1,2,20,4.3,1027.2,19.3,19.9,1.833333333,44
2005,1,2,21,5.1,1026.7,19.1,19.9,1.875,45
2005,1,2,22,5.2,1026.7,19.1,20.3,1.916666667,46
2005,1,2,23,5.2,1026.8,19.1,20.3,1.958333333,47
2005,1,3,0,4.1,1027.3,19.5,20.3,2,48
2005,1,3,1,4.2,1027.7,19.7,20.3,2.041666667,49
2005,1,3,2,4.8,1028.2,19.6,20.3,2.083333333,50
2005,1,3,3,6.4,1028.4,19.5,20,2.125,51
2005,1,3,4,7.4,1028.6,19.6,19.9,2.166666667,52
2005,1,3,5,7.4,1028.3,19.7,19.9,2.208333333,53
2005,1,3,6,6.9,1027.4,19.7,19.9,2.25,54
2005,1,3,7,6.6,1027.2,19.6,19.9,2.291666667,55
2005,1,3,8,7.3,1026.9,19.5,19.9,2.333333333,56
2005,1,3,9,6.1,1027.4,19.5,19.9,2.375,57
2005,1,3,10,5.6,1027.4,19.1,19.9,2.416666667,58
2005,1,3,11,5.6,1027.4,19,19.9,2.458333333,59
2005,1,3,12,5.8,1027.4,19.1,19.9,2.5,60
2005,1,3,13,6.5,1028.1,18.7,19.8,2.541666667,61
2005,1,3,14,5.8,1028.3,18.8,19.8,2.583333333,62
2005,1,3,15,6.3,1028.3,18.9,19.8,2.625,63
2005,1,3,16,6,1028.5,18.8,19.8,2.666666667,64
2005,1,3,17,6,1027.8,18.7,19.9,2.708333333,65
2005,1,3,18,6.7,1026.8,18.8,19.9,2.75,66
2005,1,3,19,5.7,1025.9,18.8,19.9,2.791666667,67
2005,1,3,20,5.3,1025.8,19.1,19.9,2.833333333,68
2005,1,3,21,5.3,1025.7,19.3,19.9,2.875,69
2005,1,3,22,6.2,1025.3,19.5,19.9,2.916666667,70
2005,1,3,23,4.1,1025.7,19.5,19.9,2.958333333,71
