Year,Name,Status,Latitude,Longitude,Wind Speed,Pressure,Timestamp,Max Wind,Before (0) or After (1)
2005,CINDY,TD,18.3N,86.7W,30,1009,4410,65,0
2005,CINDY,TD,18.6N,87.2W,30,1007,4416,65,0
2005,CINDY,TD,19.0N,87.6W,30,1007,4419.3,65,0
2005,CINDY,TD,19.3N,87.9W,30,1007,4422,65,0
2005,CINDY,TD,20.9N,88.5W,25,1011,4428,65,0
2005,CINDY,TD,22.3N,89.0W,30,1010,4434,65,0
2005,CINDY,TD,23.9N,89.7W,30,1009,4440,65,0
2005,CINDY,TS,25.1N,90.2W,35,1009,4446,65,0
2005,CINDY,TS,26.4N,90.4W,45,1002,4452,65,0
2005,CINDY,TS,27.6N,90.5W,60,997,4458,65,0
2005,CINDY,HU,28.5N,90.3W,65,992,4464,65,1
2005,CINDY,HU,29.2N,90.1W,65,991,4467,65,1
2005,CINDY,TS,29.6N,90.0W,50,994,4470,65,1
2005,CINDY,TS,30.2N,89.5W,45,995,4473,65,1
2005,CINDY,TS,30.8N,88.9W,40,998,4476,65,1
2005,CINDY,TD,31.6N,88.1W,30,1000,4482,65,1
2005,CINDY,TD,32.4N,87.2W,25,1004,4488,65,1
2005,CINDY,TD,33.2N,86.2W,20,1008,4494,65,1
2005,CINDY,EX,34.6N,84.1W,20,1009,4500,65,1
2005,CINDY,EX,35.6N,81.8W,20,1010,4506,65,1
2005,CINDY,EX,37.1N,80.0W,20,1010,4512,65,1
2005,CINDY,EX,37.8N,78.3W,20,1010,4518,65,1
2005,CINDY,EX,38.4N,76.7W,25,1009,4524,65,1
2005,CINDY,EX,39.1N,74.8W,25,1009,4530,65,1
2005,CINDY,EX,39.5N,72.0W,25,1009,4536,65,1
2005,CINDY,EX,40.8N,70.7W,25,1009,4542,65,1
2005,CINDY,EX,41.6N,69.8W,30,1007,4548,65,1
2005,CINDY,EX,43.5N,69.6W,30,1006,4554,65,1
2005,CINDY,EX,44.9N,69.8W,30,1006,4560,65,1
2005,CINDY,EX,45.5N,70.0W,30,1006,4566,65,1
2005,CINDY,EX,46.5N,67.6W,25,1006,4572,65,1
2005,CINDY,EX,48.0N,66.4W,20,1006,4578,65,1
2005,CINDY,EX,48.5N,64.5W,20,1006,4584,65,1
2005,CINDY,EX,48.5N,62.5W,20,1006,4590,65,1
2005,DENNIS,TD,12.0N,60.8W,25,1010,4434,130,0
2005,DENNIS,TD,12.1N,61.6W,30,1010,4437,130,0
2005,DENNIS,TD,12.2N,62.5W,30,1009,4440,130,0
2005,DENNIS,TD,12.5N,64.2W,30,1008,4446,130,0
2005,DENNIS,TS,13.0N,65.9W,35,1007,4452,130,0
2005,DENNIS,TS,13.6N,67.3W,40,1005,4458,130,0
2005,DENNIS,TS,14.3N,68.5W,45,1000,4464,130,0
2005,DENNIS,TS,14.7N,69.7W,50,995,4470,130,0
2005,DENNIS,TS,15.1N,70.9W,55,991,4476,130,0
2005,DENNIS,TS,15.6N,71.9W,60,989,4482,130,0
2005,DENNIS,HU,16.2N,73.0W,70,982,4488,130,0
2005,DENNIS,HU,16.7N,74.1W,80,972,4494,130,0
2005,DENNIS,HU,17.6N,74.9W,90,967,4500,130,0
2005,DENNIS,HU,18.5N,76.1W,100,957,4506,130,0
2005,DENNIS,HU,19.4N,77.1W,120,951,4512,130,0
2005,DENNIS,HU,19.9N,77.6W,120,956,4514.45,130,0
2005,DENNIS,HU,20.3N,78.4W,110,953,4518,130,0
2005,DENNIS,HU,20.9N,79.5W,130,938,4524,130,1
2005,DENNIS,HU,22.0N,80.6W,120,941,4530,130,1
2005,DENNIS,HU,22.1N,80.7W,120,941,4530.45,130,1
2005,DENNIS,HU,22.7N,81.6W,100,960,4536,130,1
2005,DENNIS,HU,23.4N,82.5W,75,973,4542,130,1
2005,DENNIS,HU,24.3N,83.4W,80,967,4548,130,1
2005,DENNIS,HU,25.2N,84.2W,90,962,4554,130,1
2005,DENNIS,HU,26.1N,85.0W,110,942,4560,130,1
2005,DENNIS,HU,27.2N,85.8W,125,935,4566,130,1
2005,DENNIS,HU,28.5N,86.3W,120,930,4572,130,1
2005,DENNIS,HU,29.9N,86.9W,110,942,4578,130,1
2005,DENNIS,HU,30.4N,87.1W,105,946,4579.3,130,1
2005,DENNIS,TS,31.5N,87.7W,45,970,4584,130,1
2005,DENNIS,TD,32.6N,88.5W,30,991,4590,130,1
